product_id,total_sku_revenue,total_units_sold,cumulative_rev_pct,current_stock_level
SKU_INVT_101,145000,4200,0.12,350
SKU_INVT_102,122000,3800,0.22,80
SKU_INVT_103,98000,2900,0.30,410
SKU_INVT_104,89000,2450,0.37,50
SKU_INVT_105,76000,1950,0.43,220
SKU_INVT_106,68000,2100,0.49,15
SKU_INVT_107,62000,1800,0.54,190
SKU_INVT_108,55000,1400,0.58,305
SKU_INVT_109,51000,1650,0.62,40
SKU_INVT_110,48000,1200,0.66,135
SKU_INVT_111,44000,1100,0.70,250
SKU_INVT_112,41000,1350,0.73,28
SKU_INVT_113,38000,980,0.76,110
SKU_INVT_114,35000,920,0.79,15
SKU_INVT_115,31000,850,0.81,95
SKU_INVT_116,28000,740,0.83,140
SKU_INVT_117,26000,710,0.85,32
SKU_INVT_118,24000,600,0.87,88
SKU_INVT_119,22000,680,0.89,165
SKU_INVT_120,19500,520,0.90,12
SKU_INVT_121,18000,490,0.92,75
SKU_INVT_122,16500,430,0.93,120
SKU_INVT_123,15000,410,0.94,22
SKU_INVT_124,13800,380,0.95,64
SKU_INVT_125,12000,340,0.96,110
SKU_INVT_126,10500,290,0.96,5
SKU_INVT_127,9500,280,0.97,45
SKU_INVT_128,8800,240,0.97,80
SKU_INVT_129,7800,210,0.98,18
SKU_INVT_130,6900,190,0.98,92
SKU_INVT_131,6200,180,0.98,115
SKU_INVT_132,5500,140,0.99,3
SKU_INVT_133,4800,130,0.99,50
SKU_INVT_134,4200,110,0.99,38
SKU_INVT_135,3600,95,0.99,72
SKU_INVT_136,3100,80,0.99,14
SKU_INVT_137,2700,75,0.99,48
SKU_INVT_138,2200,60,1.00,60
SKU_INVT_139,1800,50,1.00,9
SKU_INVT_140,1500,45,1.00,33
SKU_INVT_141,1200,30,1.00,25
SKU_INVT_142,950,25,1.00,40
SKU_INVT_143,800,20,1.00,2
SKU_INVT_144,650,18,1.00,18
SKU_INVT_145,500,12,1.00,30
SKU_INVT_146,400,10,1.00,12
SKU_INVT_147,300,8,1.00,2
SKU_INVT_148,200,5,1.00,15
SKU_INVT_149,150,3,1.00,8
SKU_INVT_150,80,2,1.00,1
